FF7 Items Block Dump
--------------------

List was done by Qhimm.
Modified by The SaiNt

AT	Applies To
------------------
01	One Target
03	
05	Multiple Targets
07	
10	On Party Only

Add numbers to get multiple effects.

	
ST  Status effects caused/cured
EL  Elemental value of the item's effect
AM  Amount Multiplier


RA  Restore Apply
------------------
00
08 Apply also to MP
22
23
24 Damage / Restore by %
26 Damage / Restore by 20 X AM
37 Causes Damage
47
50 Affects Stats
FF None

RT  Restore Type
----------------
00 Restore HP
01 Restore MP
02 Restore Ailment
FF None

RM  Restriction Mask
--------------------
FF 	Appears in Item Menu. Does not appear in Battle Menu (Not usable at all)
FE 	Appears in Battle Menu & Item Menu (Not usable at all)
FD 	Appears in Item Menu. Does not appear in Battle Menu (Usable in Battle Menu)
FC 	Appears in Battle Menu & Item Menu (Usable in Battle Menu)
FB 	Appears in Item Menu. Does not appear in Battle Menu (Usable in Item Menu)
FA 	Appears in Battle Menu & Item Menu (Usable in Item Menu)
F9 	Appears in Item Menu. Does not appear in Battle Menu (Usable in Item Menu & Battle Menu)
F8 	Appears in Battle Menu & Item Menu (Usable in Item Menu & Battle Menu)
F7 	Appears in Item Menu. Does not appear in Battle Menu (Usable in Battle Menu)
F6 	Appears in Battle Menu & Item Menu (Usable in Battle Menu)


                                        RM AT--+    RA AM RT          ST--------+ EL--+
00DAE748  FF FF FF FF FF FF FF FF 2A 00 F8 FF 01 00 26 05 00 FF FF FF FF FF FF FF 00 02 FF FF  Potion
00DAE764  FF FF FF FF FF FF FF FF 2B 00 F8 FF 01 01 26 19 00 FF FF FF FF FF FF FF 00 02 FF FF  Hi-Potion
00DAE780  FF FF FF FF FF FF FF FF 2D 00 F8 FF 01 02 24 20 00 FF FF FF FF FF FF FF 00 02 FF FF  X-Potion
00DAE79C  FF FF FF FF FF FF FF FF 2C 00 F8 FF 01 03 26 05 01 FF FF FF FF FF FF FF 00 02 FE FF  Ether
00DAE7B8  FF FF FF FF FF FF FF FF 2B 00 F8 FF 01 04 24 20 01 FF FF FF FF FF FF FF 00 02 FE FF  Turbo Ether
00DAE7D4  FF FF FF FF FF FF FF FF 2A 00 F8 FF 01 05 08 20 00 FF FF FF FF FF FF FF 00 02 FF FF  Elixir
00DAE7F0  FF FF FF FF FF FF FF FF 2E 00 F8 FF 05 06 08 20 00 FF FF FF FF FF FF FF 00 02 FE FF  Megalixir
00DAE80C  FF FF FF FF FF FF FF FF 2D 00 F8 FF 01 07 24 08 FF 7F FF FF 01 00 00 00 00 02 FF FE  Phoenix Down
00DAE828  FF FF FF FF FF FF FF FF 2A 00 FC FF 01 08 47 00 02 7F FF FF 08 00 00 00 FF FF FF FF  Antidote
00DAE844  FF FF FF FF FF FF FF FF 2B 00 FC FF 01 09 47 00 FF 7F FF FF 00 60 00 00 FF FF FF FF  Soft
