STRIPCD1\0\0001.str - 0x0029, 0x1bf200
STRIPCD1\0\0002.str - 0x0339, 0x892900
STRIPCD1\0\0003.str - 0x1241, 0x857400
STRIPCD1\0\0004.str - 0x20e1, 0x5dbec0
STRIPCD1\0\0005.str - 0x2b27, 0xcabf00
STRIPCD1\0\0006.str - 0x415f, 0xd96e80
STRIPCD1\0\0007.str - 0x5933, 0x6d8000
STRIPCD1\0\0008.str - 0x6533, 0x17c6600
STRIPCD1\0\0009.str - 0x8ee3, 0x13df300
STRIPCD1\0\0010.str - 0xb1bb, 0xbc3400
STRIPCD1\0\0011.str - 0xc65b, 0x2d5700
STRIPCD1\0\0012.str - 0xcb53, 0x231300
STRIPCD1\0\0013.str - 0xcf2b, 0x231300
STRIPCD1\0\0014.str - 0xd303, 0x63a9800
STRIPCD1\0\0015.str - 0x181c3, 0xce0680
STRIPCD1\0\0016.str - 0x19857, 0x323000
STRIPCD1\0\0017.str - 0x19dd7, 0x578b00
STRIPCD1\0\0019 - 0x1a76f, 0x15a1c
STRIPCD1\0\0021 - 0x1a79b, 0x0042
STRIPCD1\0\0022 - 0x1a79c, 0x49800
STRIPCD1\1\0024.snd - 0x1a82f, 0xf0f0
STRIPCD1\1\0025.snd - 0x1a84e, 0x25df0
STRIPCD1\1\0026.snd - 0x1a89a, 0x5cc0
STRIPCD1\1\0027.snd - 0x1a8a6, 0x55e0
STRIPCD1\1\0028 - 0x1a8b1, 0x655c
STRIPCD1\1\0029 - 0x1a8be, 0x36e8
STRIPCD1\2\0035 - 0x1a8c5, 0x1393c
STRIPCD1\2\0036 - 0x1a8ed, 0x1e8d4
STRIPCD1\2\0037 - 0x1a92b, 0x167a8
STRIPCD1\2\0038 - 0x1a958, 0x284b0
STRIPCD1\2\0039 - 0x1a9a9, 0x112e4
STRIPCD1\2\0040 - 0x1a9cc, 0x3830
STRIPCD1\2\0045.smd - 0x1a9d4, 0x1960
STRIPCD1\2\0046.sed - 0x1a9d8, 0x1d0c
STRIPCD1\2\0047 - 0x1a9dc, 0x0c58
STRIPCD1\2\0048 - 0x1a9de, 0x9968
STRIPCD1\2\0049 - 0x1a9f2, 0x320e4
STRIPCD1\2\0050 - 0x1aa57, 0x31000
STRIPCD1\3\0052 - 0x1aab9, 0xff4c
STRIPCD1\3\0053 - 0x1aad9, 0x148a0
STRIPCD1\3\0054 - 0x1ab03, 0x11940
STRIPCD1\3\0055 - 0x1ab27, 0x16d38
