cdrom $801C2CA0 <- 53:09:24($3a5c9), 2048 bytes
cdrom $801C34A0 <- 53:09:25($3a5ca), 2048 bytes
cdrom $801C3CA0 <- 53:09:26($3a5cb), 2048 bytes
cdrom $801C44A0 <- 53:09:27($3a5cc), 2048 bytes

14/2595 В нем содержатся имена персонажей и Gear
cdrom $801C4CA0 <- 53:09:28($3a5cd), 856 bytes
cdrom $80058D94 <- 53:09:28($3a5cd), 1192 bytes

11/0615 текстура филда
cdrom $801B2FE8 <- 27:01:61($1da8e), 2048 bytes
cdrom $801B47E8 <- 27:05:08($1db85), 2048 bytes

8/0427
cdrom $801DE178 <- 26:33:25($1d236), 2048 bytes
cdrom $801EB978 <- 26:33:52($1d251), 1336 bytes
cdrom $80058D94 <- 26:33:52($1d251), 712 bytes

8/0429
cdrom $801DE79C <- 26:34:05($1d26d), 2048 bytes
cdrom $801EB79C <- 26:34:31($1d287), 1812 bytes
cdrom $80058D94 <- 26:34:31($1d287), 236 bytes

10/0591
cdrom $8010F798 <- 26:48:06($1d688), 2048 bytes
cdrom $80124F98 <- 26:48:49($1d6b3), 540 bytes
cdrom $80058D94 <- 26:48:49($1d6b3), 1508 bytes

cdrom $801121A0 <- 12:02:19($d303), 32 bytes


10/0591


CPU Break, Mem Write at 000C32B0, 4 bytes
wait for pause on write mem from 800C373C to 800C3740
CPU Break, Mem Write at 000C373C, 4 bytes
wait for pause on write mem from 800C2F3C to 800C3740
CPU Break, Mem Write at 000C3740, 4 bytes
cdrom $801CD5E8 <- 24:12:31($1a8ed), 2048 bytes
cdrom $801CDDE8 <- 24:12:32($1a8ee), 2048 bytes
cdrom $801CE5E8 <- 24:12:33($1a8ef), 2048 bytes
cdrom $801CEDE8 <- 24:12:34($1a8f0), 2048 bytes
cdrom $801CF5E8 <- 24:12:35($1a8f1), 2048 bytes
cdrom $801CFDE8 <- 24:12:36($1a8f2), 2048 bytes
cdrom $801D05E8 <- 24:12:37($1a8f3), 2048 bytes
cdrom $801D0DE8 <- 24:12:38($1a8f4), 2048 bytes
cdrom $801D15E8 <- 24:12:39($1a8f5), 2048 bytes
cdrom $801D1DE8 <- 24:12:40($1a8f6), 2048 bytes
cdrom $801D25E8 <- 24:12:41($1a8f7), 2048 bytes
cdrom $801D2DE8 <- 24:12:42($1a8f8), 2048 bytes
cdrom $801D35E8 <- 24:12:43($1a8f9), 2048 bytes
cdrom $801D3DE8 <- 24:12:44($1a8fa), 2048 bytes
cdrom $801D45E8 <- 24:12:45($1a8fb), 2048 bytes
cdrom $801D4DE8 <- 24:12:46($1a8fc), 2048 bytes
cdrom $801D55E8 <- 24:12:47($1a8fd), 2048 bytes
cdrom $801D5DE8 <- 24:12:48($1a8fe), 2048 bytes
cdrom $801D65E8 <- 24:12:49($1a8ff), 2048 bytes
cdrom $801D6DE8 <- 24:12:50($1a900), 2048 bytes
cdrom $801D75E8 <- 24:12:51($1a901), 2048 bytes
cdrom $801D7DE8 <- 24:12:52($1a902), 2048 bytes
cdrom $801D85E8 <- 24:12:53($1a903), 2048 bytes
cdrom $801D8DE8 <- 24:12:54($1a904), 2048 bytes
cdrom $801D95E8 <- 24:12:55($1a905), 2048 bytes
cdrom $801D9DE8 <- 24:12:56($1a906), 2048 bytes
cdrom $801DA5E8 <- 24:12:57($1a907), 2048 bytes
