Loading file: ./data/field/zidane.model
Add skeleton bone: bone_id = 0, length = 0, parent = -1.
Add skeleton bone: bone_id = 1, length = 0, parent = 0.
Add skeleton bone: bone_id = 2, length = 85, parent = 1.
Add skeleton bone: bone_id = 3, length = 52, parent = 2.
Add skeleton bone: bone_id = 4, length = 68, parent = 3.
Add skeleton bone: bone_id = 5, length = 81, parent = 4.
Add skeleton bone: bone_id = 6, length = 26, parent = 5.
Add skeleton bone: bone_id = 7, length = 85, parent = 1.
Add skeleton bone: bone_id = 8, length = 25, parent = 7.
Add skeleton bone: bone_id = 9, length = 85, parent = 1.
Add skeleton bone: bone_id = 10, length = 52, parent = 9.
Add skeleton bone: bone_id = 11, length = 68, parent = 10.
Add skeleton bone: bone_id = 12, length = 81, parent = 11.
Add skeleton bone: bone_id = 13, length = 26, parent = 12.
Add skeleton bone: bone_id = 14, length = 0, parent = 0.
Add skeleton bone: bone_id = 15, length = 42, parent = 14.
Add skeleton bone: bone_id = 16, length = 25, parent = 15.
Add skeleton bone: bone_id = 17, length = 80, parent = 16.
Add skeleton bone: bone_id = 18, length = 75, parent = 17.
Add skeleton bone: bone_id = 19, length = 42, parent = 14.
Add skeleton bone: bone_id = 20, length = 25, parent = 19.
Add skeleton bone: bone_id = 21, length = 80, parent = 20.
Add skeleton bone: bone_id = 22, length = 75, parent = 21.
Add skeleton bone: bone_id = 23, length = 42, parent = 14.
Add skeleton bone: bone_id = 24, length = 37, parent = 23.
Add skeleton bone: bone_id = 25, length = 137, parent = 24.
Add skeleton bone: bone_id = 26, length = 81, parent = 25.
Loading file: ./data/field/15.animation
AnimationExtractor: 0 15.animation
